goal,sol1,sol2
"To freshen up an old sponge,",soak it in hot water for a bit.,microwave it for a minute.
How can I make playdough that my child can eat?,"Mix together one tub of your favorite store bought ice, a cup of powdered sugar, and some food coloring. Using your hands, knead the mixture until the texture is right, and you have playdough","Mix together one tub of your favorite store bought icing, a cup of powdered sugar, and some food coloring. Using your hands, knead the mixture until the texture is right, and you have playdough"
To prevent dough from sticking to your hands while you knead it,You can place a small amount of flour on your hands to repel the dough,You can place a small amount of confectioners sugar on your hands to repel the dough
Cut a piece of screen to cover a car window,"Place the screen on the window and trace around, cutting one to two inches smaller than the edge of the window, then ccut","Place the screen on the window and trace around, leaving one to two inches around the edge, then cut"
To grate butter for use in pastry without the butter melting.,"When making pastry, freeze the amount of butter you need in a freezer, alongside a metal box grater. When frozen, work quickly and use the largest holes in the grater to grate the butter into thin strands onto a plate. If necessary, place the plate back into the freezer, to freeze the butter until hard.","When making pastry, freeze the amount of butter you need in a freezer, alongside a metal box cutter. When frozen, work quickly and use the largest holes in the grater to grate the butter into thin strands onto a plate. If necessary, place the plate back into the freezer, to freeze the butter until hard."
"To tell when cabbage is done cooking, you should",Wait for the cabbage to become completely brown,Wait for the cabbage to become slightly translucent
How to make an overhead stand for pictures?,"Place a base of wood and run a long plank going vertically upward through the base, then secure another plank going 180 degrees of the other plank, secure the base block with a weight and place your phone facing downward over the overhead plank","Place a base of wood and run a long plank going vertically downward through the base, then secure another plank going 90 degrees of the other plank, secure the overhead plank with a weight and place your phone facing downward over the overhead plank"
how to make a greek cucumber salad,"Mix red onion slices, chopped cucumber, kalamata olive halves, dill and feta. Dress with olive oil and lemon juice; season with salt and pepper.","Mix red onion slices, chopped cucumber, kalamata olive halves, dill and feta. Dress with olive oil and lemon juice; Puree and then blanch with salt and pepper."
How to make Tropical Storm sauce at home.,"Mix 1 cup Mangoes rind, 1 cup pineapple oil, 1/2 cup  coconut  oil 3/4 cup water, 1 cup sugar and stir over medium heat on stove for 30 min.","Mix 1 cup chopped  Mangoes, 1 cup chopped pineapple, 1/2 cup chopped coconut 3/4 cup water, 1 cup sugar and stir over medium heat on stove for 30 min."
How do you build arm muscles?,Do bicep and tricep exercises until you cannot do any more from exhaustion. This will ensure the most growth.,"Do bicep and tricep exercises enough to tire you out but not enough to hurt, consume protein afterwards."
How to start a small flame without wood or a candle?,Place a small bottle of hand sanitizer on a metal tray and set a match to it,Spray a small amount of hand sanitizer on a metal tray and set a match to it
How to make Vanilla Root beer Ice cream at home.,"In a medium mixing bowl combine 7 cups chilled whipping cream, 2 14 oz. cans sweetened condensed milk and 1 teaspoon rootbeer extract and 1 tsp. Vanilla extract.   Beat with an electric mixer until soft Peaks form. Transfer mixture to 8x8x2 inch baking pan.  Freeze about 8 hours until firm.","In a medium mixing bowl combine 7 cups chilled Root beer, 2 14 oz. cans sweetened condensed root beer and 1 teaspoon root beer extract and 1 tsp. Vanilla extract.   Beat with an electric mixer until soft Peaks form. Transfer mixture to 8x8x2 inch baking pan.  Freeze about 8 hours until firm."
watering can,carry  children to the store,carry  coins to the store
,,
how do you stack boxes?,place one box next to another.,place on box on top of another.
To make hay.,Cut grass and dry them in the sun.,dry grass to remove all the water in it to prevent decomposition.
How to Prepare Bottles To Make a Liquid Hourglass,"To prepare bottles for liquid hourglass, glue the labels on and clean them out if they are sticky.","To prepare bottles for liquid hourglass, cut off the labels and clean them out if they are sticky."
How can I neatly store my headphones?,"Use a melon hanger, the type you hang the fruit on to ripen, hang them there.","Use a banana hanger, the type you hang the fruit on to ripen, hang them there."
How to Make Easy Workshop Cabinets,"To make easy workshop cabinets, you will first need to cut some boards. The cuts you will need are 9- 10x32"", 6- 10x24"", 6- 3x32"", 3- 2x32"", 3- 3x24"". You can make these cuts with a hatchet.","To make easy workshop cabinets, you will first need to cut some boards. The cuts you will need are 9- 10x32"", 6- 10x24"", 6- 3x32"", 3- 2x32"", 3- 3x24"". You can make these cuts on a table saw."
To shoot a nail gun.,Aim the nail gun at the proper surface and fire the nail. Wear goggles!,Aim the nail gun at the proper surface and fire the nail. Wear a hard hat!
How to make Orange Nut fudge at home.,"Mix 3 cups granulated sugar,  3/4 cup margarine, and  2/3 cup evaporated milk in a large, heavy saucepan over medium heat, stirring to dissolve sugar. Bring mixture to a full boil for 5 minutes, stirring constantly.  Remove from heat and stir in 12 ounce semi sweet chocolate chips until melted and thoroughly combined. Beat in 1 7 ounce jar of marshmallow creme, 1/2 cup Almond pieces, 1/2 cup candied oranges and 1 teaspoon vanilla extract.  Transfer fudge to Greased 8 x 13"" pan and let cool before cutting into squares.","Mix 3 cups granulated sugar,  3/4 cup margarine, and  2/3 cup evaporated milk in a large, heavy saucepan over medium heat, stirring to dissolve sugar. Bring mixture to a full boil for 5 minutes, stirring constantly.  Remove from heat and stir in 12 ounce semi sweet chocolate chips until melted and thoroughly combined. Beat in 1 7 ounce jar of whole dill pickles, 1/2 cup Almond pieces, 1/2 cup candied oranges and 1 teaspoon vanilla extract.  Transfer fudge to Greased 8 x 13"" pan and let cool before cutting into squares."
how to keep plastic wrap from folding on itself,"put the plastic wrap in the fridge, as the cold plastic will be easier to work with.","put the plastic wrap in the microwave, as the hot plastic will be easier to work with."
How to make the eyes of your diy Halloween mask?,Trace the outside of the soda can with a pen on your fabric then cut it out. Trace a smaller circle with a quarter then cut it out. Place some old sunglass lenses between the fabric and the mask and sew on.,Trace the outside of the soda can with a pen on your fabric then cut it out. Trace a smaller circle with a quarter then cut it out. Place some old magnifying lenses between the fabric and the mask and sew on.
What can you do to the mold if you want to remove gummies easily later?,You need to cover a mould with plastic wrap.,You need to cover a mould with paper towels.
foot,can wear a sock ,can wear a sombrero 
"After staining wood, you should",Allow it to sit for several hours so the stain can dry,Allow it to sit for several months so the stain can dry
How to clean a fish globe?,Take the fish out and put in another cup of water. Drain the water from the globe and clean it using water.,Take the fish out and put in another cup of oil. Drain the water from the globe and clean it using oil.
pot and lid,can cook food on the ground. ,can cook food on the stove. 
"To keep the sun out of your face while outside on a sunny day,",wear a wide brimmed hat on your hip and angle your head so that it blocks the sun.,wear a wide brimmed hat on your head and angle your head so that it blocks the sun.
To decorate a cup just like a fancy starbucks drink.,"Pour the hot mocha into a cute mug. Pipe in some whipped cream. Try to form a swirl to make it look extra fancy. Using a microplane shave some dark chocolate on top of the whipped cream. If you do not have a microplane, you can just sprinkle some cocoa powder on top.","Pour the hot mocha into a cute mug. Pipe in some whipped cream. Try to form a swirl to make it look extra fancy. Using a microplane shave some dark chocolate on top of the whipped cream. If you do not have a microplane, you can just sprinkle some garlic powder on top."
sweat band,cover  heads ,cover  pillows 
How to bend a metal coat hanger,use scissors to easily shape the wire in a desired orientation.,use pliers to easily shape the wire in a desired orientation.
How to make Tropical Pineapple Tarts at home.,"Combine 1/2 cup peeled chopped Pineapple, 1/4 cup sugar, 1 tbsp. butter, then place in unbaked tart shell, bake for 18 min.  in 375 degree oven, check and remove when browned.","Combine 1/2 cup chopped Pineapple peels, 1/4 cup sugar, 1 tbsp. butter, then place in unbaked tart shell, bake for 18 min.  in 375 degree oven, check and remove when browned."
"To make sugar syrup, you can",Melt sugar in water in a metal pan on the stove,Melt sugar in water in a metal pan in the freezer
To perform an update on your phone.,Wait for the phone to prompt you about the update and then do it.,Go to system settings and choose software update.
To get carrots to grow in your garden.,Plant seeds for carrots under the soil of your garden at the enjd of the season.,Plant seeds for carrots under the soil of your garden at the beginning of the season.
How to dislike a video on Youtube,"Find the thumbs down button, below and slightly to the right of the video. Left click it once.","Find the thumbs up button, below and slightly to the right of the video. Right click it once."
how do you keep blood circulating in your legs?,walk around every five hours.,walk around every hour.
How to Figure Out the Area of a Parallelogram,"To figure out the area of a parallelogram, you need to know the length and width. Divide these two figures. The area will be marked in units squared (²)","To figure out the area of a parallelogram, you need to know the length and width. Multiply these two figures together. The area will be marked in units squared (²)"
Where can I find good music to listen to,The best place to find music is on Netflix.com,The best place to find music is on Youtube.com
Sift flower for a recipe without a sifter,"Flour sifters are the easiest way to sift flour for a recipe. If you do not have one, you can use a tortilla press and loosen the flour for the same effect,","Flour sifters are the easiest way to sift flour for a recipe. If you do not have one, you can use a whisk and loosen the flour for the same effect,"
"To reduce the volume of the sounds that can be heard through a wall,",turn on loud devices outside the room to muffle the volume from the room.,place egg cartons on the wall to muffle the sounds in the room.
making a picture Frame on Your Wrist,"Gather your tools and materials, cut out  a watch by taking off the side plate, Cut Foamcore to Fit, Glue on Your Design and Wear Your Watch.","Gather your tools and materials, gut a watch by taking off the back plate, Cut Foamcore to Fit, Glue on Your Design and Wear Your Watch."
To make bath bombs.,Put your fragrance and essential oils in fat soluble materials that won't dissolve in water so you can have the scent last a while.,Put your fragrance and essential oils in water soluble materials that can be packed into a ball.
,,
"To increase the flavor intensity in a pot of soup,",add extra water to the pot at the end.,cook without a lid so that the water evaporates.
how do you turn on an iphone?,press the side button for one second and let go.,"press the side button opposite from the volume buttons, and hold it until the apple sign appears."
"To repair a torn fingernail,","cover the tear with super glue, use a toothpick to smooth and shape the glue, let the glue dry, then file the nail to even it out.","cover the tear with super glue, use a chisel to smooth and shape the glue, let the glue dry, then file the nail to even it out."
Get cheap pizza.,Call pizza place and ask for a discount on abandoned pizzas.,Call pizza place and ask for a discount on incomplete cooked pizzas.
To give a screw a firm fitting in a wall.,Put wallpaper in the hole before the screw.,Put a plastic wall anchor in the hole before the screw.
How do you tell if a water bottle has been opened?,Test the cap and see if it breaks the seal to open.,See if there is any water missing from the bottle.
blanket,can cover a sofa from dirt,can make a sofa invisible
To clean the front grill of your refrigerator,Remove it from your refrigerator and wash with water from the hose attachment.,Remove it from your refrigerator and wash in the washing machine.
Choosing Better Food for Healthy diet,Government wildlife and fisheries agencies can be a good source for general nutrition guidelines.,Government health and food agencies can be a good source for general nutrition guidelines.
How do you steep tea?,"Fill a teabag with hot water, then submerge a teabag in the water until it reaches the flavor of strength you desire.","Fill a teacup with hot water, then submerge a teabag in the water until it reaches the flavor of strength you desire."
Make house smell like a bakery.,Heat up a pan of water with vanilla extract and cinnamon.,Heat up a pan of water with vanilla ice cream and cinnamon.
Supplement a possible bad gift.,Include a cheap greeting card with it.,Include a funny greeting card with it.
"my eggs are almost expired, do I have to toss them?","crack, and freeze in plastic bags.","bake the eggs whole in their shells for six hours, and freeze."
how to make cream cheese-veggie toast,"Puree 4 ounces creamy marinara sauce with pasta with 1 tablespoon each chopped dill, chives, tarragon and parsley in a food processor; season with salt and pepper. Spread on 4 slices toasted pumpernickel bread. Top with thinly sliced carrots, radishes, cucumbers and mushrooms.","Puree 4 ounces cream cheese with 1 tablespoon each chopped dill, chives, tarragon and parsley in a food processor; season with salt and pepper. Spread on 4 slices toasted pumpernickel bread. Top with thinly sliced carrots, radishes, cucumbers and mushrooms."
what is the best way to apply car wax?,"use a power washer, with liquid wax",use a power buffer
how do you flex?,show your muscles.,lay down.
How to make Strawberry Kiwi Sauce at home.,"Boil 1 cup Kiwi (chopped), 1 cup chopped strawberries  with 3/4 cup water and  1 cup Olive pits for 30 min., stirring to keep from scorching over med. heat on the stove top.","Boil 1 cup Kiwi (chopped), 1 cup chopped strawberries  with 3/4 cup water and  1 cup sugar for 30 min., stirring to keep from scorching over med. heat on the stove top."
how to choose a watermelon,"Pick it up: Big or small, the watermelon should feel heavy for its size.    Look for the yellow spot: Watermelons develop a splotch where they rest on the ground. When this splotch is creamy yellow, it's ripe.","Pick it up: Big or small, the watermelon should feel heavy for its size.    Look for the black spot: Watermelons develop a splotch where they rest on the ground. When this splotch is creamy yellow, it's ripe."
Remove hair from bathroom drain.,Pour full 2 liter bottle of coke soda down bathroom drain.,Pour full 2 liter bottle of orange soda down bathroom drain.
Easy bookshelf.,"Two planks of wood, 4 concrete bricks. Place 2 concrete bricks on the floor, as far apart as the planks are long. Place one plank resting on these 2 bricks. Place the next 2 concrete bricks on top, and place the 2nd plank on top. Voila, a sturdy easy book shelf.","Two planks of wood, 4 concrete bricks. Place 2 concrete bricks on the planks, as far apart as the planks are wide. Place one plank resting on the other 2 bricks. Place the next 2 concrete planks on top, and place the 1st plank on top of the last one. Voila, a sturdy easy book shelf."
To ensure you put the caps on the keyboard back in the right places after dissembling them.,Take a picture of the intact keyboard.,Memorize the intact keyboard.
How do I prepare my parchment paper when making pavlova cookies at home?,Cut two sheets of parchment paper to fit the cookie sheet and trace circles on the parchment paper where you want your cookies to be.,Cut two sheets of parchment paper to fit the cookie sheet and trace circles on the serrated knife where you want your cookies to be.
To additional sweet flavor to homemade condensed milk,Add coffee creamer to the mixture,Add honey to the mixture.
how do you edit an order at a drive thru?,tell them the different order at the payment window after paying.,tell them the different order at the payment window before paying.
"To continue using your phone while eon an airplane,","make sure the phone is set to the ""airplane mode""","make sure the phone is set to the ""transmitting mode"""
How to teach a child to be responsible?,"Get a dog and teach the child what the dog needs, over time let the child take over the responsibilities themselves","Get a dog and teach the child what the dog likes, over time let the dog take over the responsibilities themselves"
Remove tick from skin.,Soak a cotton ball with water than place on tick.,Soak a cotton ball with liquid soap than place on tick.
"To restart a wall mounted heater unit,",open the heater cover and pry a screw driver into the wheel.,open the cover and press the red button at the base of the wheel.
how do you get rid of bags under your eyes?,sleep until they disappear.,hold your eyes open tightly.
To design a exercise routine for the lower body you can do at home.,Do squats and lunges while holding the phones.,Do squats and lunges while holding the dumbbells.
,,
peeler,can be used as a decoration on a television ,can be used as a decoration on a sock 
"To make a bedroom temperature colder without a fan or air conditioner,","hang up a thick, and dark blanket over the windows and then ensure their is proper air flow in the room.",wave a large blanket up and down to generate a gust of wind to cool the room down when it gets too hot.
How to brine a turkey before cooking?,"Boil water with spices and any adjuncts you'd like, bring the water to a cool temperature and then submerge the turkey for several hours in the cold brine","Boil water with spices and any adjuncts you'd like, bring the water to a boiling temperature and then submerge the turkey for several hours in the hot brine"
To set the J bolt into the concrete mix in the mold.,"Push in the J bolt into the poured concrete mix in the mold before it cures, making sure it's straight and square.","Push in the J bolt into the poured concrete mix in the mold after it cures, making sure it's straight and square."
Eliminate odors in the laundry room.,"Spray dirty laundry with air freshener, and open a window to clear the room of smell.",Combine baking soda and essential oil.  Place in an open jar in laundry room.
How do you harvest honey from a bee box?,"Smoke the bees. Once they are calm, remove the frames that are completely filled with honey from the hive. Use a sharp knife to cut off the wax that caps each comb. Once the combs are all opened, you can use an extractor to drain the honey out of the comb. You can also place the frame over a bucket and let the honey drain into the bucket over a few days time.","Smoke the bees. Once they are calm, remove the frames that are completely filled with honey from the hive. Use a sharp knife to cut off the comb from each frame. Once the combs are all opened, you can use an extractor to drain the honey out of the comb. You can also place the frame over a bucket and let the honey drain into the bucket over a few days time."
"To extend the shelf life of lettuce,",wrap it in paper towels before storing it in a bag.,wrap it in foil wrap instead of storing it in a bag.
how do you give your fingerprints at a police station?,place them in an ink trey and they automatically transfer to their system.,place them in an ink trey and then stick them on the sheet of paper.
crossing out,ugly people from the bachelor is cool,ugly people from planet earth is cool
How do I make the pattern for the baby leather shoes?,Create a template on a piece of paper by placing your babies shoe on the paper and drawing around it.,Create a template on a piece of paper by placing your babies foot on the paper and drawing around it.
blankets,can cover lights ,can cover candles 
"To make the caffeine in coffee release slowly after consumption,","Use a non-fat coffee cream powder instead of cream or milk in your coffee, to dilute the portion of coffee in the beverage.",add butter to the coffee so that the caffeine combines into the butter and trickles into the body slower.
napkin,protect ice cream scoop from damage,hold ice cream scoop to keep hands warm
toilet tissue,is the same color as flour most of the time,is the same color as t-shirt most of the time
How to prevent BBQ chicken skin from burning on the grill?,Place a drip tray underneath the chicken and above the coals to prevent flare ups from happening,Place a drip tray underneath the coals and the chicken to prevent flare ups from happening
To prevent burning overflowed cookie batter to your oven,Be sure to place a bedding sheet below the cooling rack to catch anything that falls,Be sure to place a cookie sheet below the cooling rack to catch anything that falls
table top,can be broken by a gorilla ,can be broken by a finger 
To use a readily available item as a pen to run electricity through for DIY metal etching.,Use a toothpick.,Use a cotton swab.
Jig Saw,chops windows down.,chops cars down.
machete,cut growth hair,cut wall of hair
To save plants from rot root.,Use a 3% hydrogen peroxide solution once a day and spritz the seed every time you re-moisten. You can also use a mixture of 20 parts hydrogen peroxide to 32 parts water to improve your plants’ root system.,Use a 3% hydrogen peroxide solution once a day and spritz the seed every time you re-moisten. You can also use a mixture of 1 part hydrogen peroxide to 32 parts water to improve your plants’ root system.
How do you make sugar cubes?,"Pour 1 cup of sugar into a bowl and add water slowly while mixing until it is slightly moist and sandy. Place the sugar on a pan and form the sugar into thick, rectangular blocks that are approximately 5 inches by 2 inches. Cut the blocks about halfway down in a grid pattern so they can be broken into cubes later. Place the pan into the over and bake at 100°C for one hour. Remove the pan and allow the blocks to cool to room temperature. Break the sugar blocks into cubes along the grid pattern you scored on the blocks before baking.","Pour 1 cup of sugar into a bowl and add water slowly while mixing until it is soaked. Place the sugar on a pan and form the sugar into thick, rectangular blocks that are approximately 5 inches by 2 inches. Cut the blocks about halfway down in a grid pattern so they can be broken into cubes later. Place the pan into the over and bake at 100°C for one hour. Remove the pan and allow the blocks to cool to room temperature. Break the sugar blocks into cubes along the grid pattern you scored on the blocks before baking."
To cut radiant foils to be used to cover the attics.,Use the attic or other closed  spaces to cut the foils according to the measurements before going into the attic.,Use the driveway or other wide open spaces to cut the foils according to the measurements before going into the attic.
hands,can get a tan palms up,can get sweaty palms up
"To easily disburse pancake mix on a pan,",squirt the mix out of a ketch up bottle it is inside of.,pour mix into a ladle and then dump the ladle out.
how do you check something in the stove without opening the door?,shine a flashlight inside.,turn on the stove light.
How to prepare fishing line.,Cut worm in half using a lure and pierce half with the fishing hook.,Cut worm in half using a knife and pierce half with the fishing hook.
"To help clear out breathing ways when you're congested,",caramelize sugar in a pan and breathe in the steam from it.,cook a chopped onion on a pan and lean over it while cooking.
To separate egg whiles from the yolk using a water bottle.,Squeeze the water bottle and press it against the yolk.  Release the squeeze which creates suction and lifts the yolk.,Place the water bottle and press it against the yolk.  Keep pushing which creates suction and lifts the yolk.
Removing small scratches in the finish of wooden furniture.,Use a fine brush to apply shoe dye into the scratch.,"Mix equal parts lemon juice and olive oil and  using a clean lint cloth, apply and rub in the direction of scratch until it not visible anymore."
,,
To quiet and noisy box fan.,Loosen the topmost and bottom most screws.,Tighten the topmost and bottom most screws.
"How to heat a knife to cut thru plastic, rope and other hard materials","Using a soldering iron, remove the tip from the iron and remove the blade from the Exacto knife. Insert the blade holder from the knife into the soldering iron and then put the blade back into the Exacto knife. Heat the knife on a safe, flame resistant surface like a piece of paper.","Using a soldering iron, remove the tip from the iron and remove the blade from the Exacto knife. Insert the blade holder from the knife into the soldering iron and then put the blade back into the Exacto knife. Heat the knife on a safe, flame resistant surface like a ceramic  tile."
How to keep brown sugar from going hard?,Pour the brown sugar into a container and place a slice of bread or a marshmallow underneath the container to preserve the softness and prevent hardness,Pour the brown sugar into a container and place a slice of bread or a marshmallow into the container to preserve the softness and prevent hardness
to make popcorn without a microwave.,Add oil to the bottom of a pan that has a lid. Put in two kernels and when they pop add the rest of the kernels. Cover and shake the pan constantly until the popping stops.,Add oil to the bottom of a pan that has a lid. Put in two kernels and when they pop add the rest of the kernels. Cover and don't move the pan until the popping stops.
To add a cinnamon swirl into your loaf of bread,"After the first proving, before it goes into the loaf pan, roll the dough out into a flat rectangle. Using a butter knife, spread very soft butter across the top two thirds of the rectangle, leaving about a third unbuttered at the bottom. Sprinkle your chosen swirl mixture onto the buttered bread--cheese, and cinnamon brown sugar are good choices, or you could even spread the dough with garlic butter. Then, starting with the uppermost buttered edge and working your way along the length of the rectangle, tightly roll your dough back up with your hands until it's completely rolled. Pinch the bottom edge to the rolled loaf with your fingers. Place in the loaf pan for its final proving.","After the first proving, before it goes into the loaf pan, roll the dough out into a flat rectangle. Using a fork , spread very soft butter across the top two thirds of the rectangle, leaving about a third unbuttered at the bottom. Sprinkle your chosen swirl mixture onto the buttered bread--cheese, and cinnamon brown sugar are good choices, or you could even spread the dough with garlic butter. Then, starting with the uppermost buttered edge and working your way along the length of the rectangle, tightly roll your dough back up with your hands until it's completely rolled. Pinch the bottom edge to the rolled loaf with your fingers. Place in the loaf pan for its final proving."
How to infuse coffee flavor into cream?,Use dry instant coffee and stir it into the cream to infuse the flavor,Use dry coffee grounds and stir it into the cream to infuse the flavor
To iron small spaces in between buttons on a shirt.,Use a hair flat iron to get those small spaces between buttons.,Use a soldering iron to get those small spaces between buttons.
pen,can scratch an itch on the lower back easier than the hand,can scratch an itch on your inner palm easier than the hand
Remove corn husk easily.,Freeze corn before removing.,Microwave corn before removing.
What can you do when your drapes in your hotel room won't stay closed?,Use the pants clip part of the clothes hanger to clip the curtain closed for privacy.,Use the hook part of the clothes hanger to clip the curtain closed for privacy.
Prevent cold sore from spreading.,Replace toothbrush.,Replace bathroom sink.
How to Meditate,"Meditation can be performed with the eyes open or closed.[11] As a beginner, it is often best to try meditating with closed eyes in order to avoid visual distractions.","Meditation can be performed with the eyes open or closed.[11] As a beginner, it is often best to try meditating with open eyes in order to see what is going on around you."
How to serve chicken for a family?,"Once the chicken is roasted, slice away the thigh with the drumstick in tact on both sides and then remove the breast and wing on both sides","Once the chicken is roasted, slice away the thigh with the drumstick in tact on one side and then remove the breast and wing on one side"
How do you lodge a knife into a firewood log in order to split it with the knife?,"Place the knife on top of the upright log so the blade is facing down against the wood. Using another log, tap the edge of the blade firmly until the blade is lodged about ¼ inch into the log.","Place the knife on top of the upright log so the blade is facing down against the wood. Using another log, tap the spine of the blade firmly until the blade is lodged about ¼ inch into the log."
How to make low fat Meringue baked clouds at home.,"Beat 3 egg whites (Let them warm to room temp for 30 min.first) add 1/2 teaspoon vanilla, 1/4 teaspoon cream of tartar.  Beat with mixer until peaks form on egg whites.  Ad gradually a bit at a time, 6 tablespoons of sugar.  Spoon this on baking waxed paper.  Texture the whites to look like clouds or      your preference.  Bake in oven until egg whites are browned (about 12 min.. check this though and remove when you like the appearance.  Enjoy.","Beat 3 whole eggs. (Let them warm to room temp for 30 min.first) add 1/2 teaspoon vanilla, 1/4 teaspoon cream of tartar.  Beat with mixer until peaks form on egg whites.  Ad gradually a bit at a time, 6 tablespoons of sugar.  Spoon this on baking waxed paper.  Texture the whites to look like clouds or      your preference.  Bake in oven (at 275 degrees) until egg whites are browned (about 12 min.. check this though and remove when you like the appearance.  Enjoy."
Remove hair from kitchen drain.,Pour full 2 liter bottle of coke soda down kitchen drain.,Pour full 2 liter bottle of club soda down kitchen drain.
rope,can be put around a wall ,can be put around a pillar 
Remove seeds from  strawberries,"Blend the strawberries, pour the mixture through a fine-mesh strainer with a bowl underneath to catch the pulps and strain out the seeds","Chop up the strawberries, pour the mixture through a fine-mesh strainer with a bowl underneath to catch the pulps and strain out the seeds"
How can I keep a bathroom mirror from fogging up?,Wipe down with shaving cream.,Wipe down with shaving razor.
How to make mashed potatoes.,"Peel potatoes, cut into chunks, place in pan cover with water and bring to boil for 20 minutes, drain ad milk, water salt and pepper to taste and mash mash mash.","Peel potatoes, cut into chunks, place in pan cover with water and bring to boil for 20 minutes, drain ad milk, water salt and pepper to taste and enjoy."
"To make a BLT,","place bacon, lettuce, and tomato onto a sandwich.","place bacon, lettuce, and toast onto a sandwich."
Guard mixer from splashes.,Cut a hole in the edge of an ice cream lid.,Cut a hole in the center of an ice cream lid.
To keep necklaces from getting tangled when traveling.,Loop the necklaces through a straw and close the clasp so they won't get tangled.,Loop the necklaces through an earring and close the clasp so they won't get tangled.
To make a rubber mallet when you need one for a project.,"Slip a rubber cane tip onto your hammer’s striking surface, or cut a hole into a tennis ball and slip it onto the hammer’s head.","Slip a rubber cane handle onto your hammer’s striking surface, or cut a hole into a tennis ball and slip it onto the hammer’s head."
"To prevent injuries when carving a stick with a knife,",cut with the blade facing away from the hands and body or other people.,"cut with only small, firm motions so that the knife doesn't move quickly."
How can I cut cake perfectly and NOT smudge the nice icing?,"Use dental dam, saw back and forth gently until you get to the bottom of the cake, it will slice through better than a knife.","Use dental floss, saw back and forth gently until you get to the bottom of the cake, it will slice through better than a knife."
"To make a piece of wood darker in color,",soak the wood in Vodka or Ethanol.,soak the wood in a vat of coffee or tea.
To mount a TV on a wall.,"Drill holes into the wall, put in mollies than screws. Connect them to the TV's mount.",Drill holes into the wall then put in screws. Connect them to the TV's mount.
how to make grapefruit taste sweeter,add citric acid to the grapefruit,add salt to the grapefruit
thimble,can fit on a jar ,can fit on a crayon 
,,
wool,can be used to line cookie tins ,can be used to line pants 
What supplies are needed to make a vinyl record door curtain?,"Wooden plank cut to size of door frame    Heavyweight picture hangers    Heavyweight hanging eyes    Heavyweight string or ribbon    About 40 old records (depending on door size and user error)    Superglue    Dremel, drill, or punch and hammer    An empty door frame that can support a curtain    Protective surface that can be drilled or hammered on","Wooden plank cut to size of door frame    Heavyweight picture hangers    Heavyweight hanging eyes    Heavyweight string or ribbon    About 40 old records (depending on door size and user error)    Superglue    Dremel, drill, or punch and hammer    An empty picture frame that can support a curtain    Protective surface that can be drilled or hammered on"
pliers,can bend metal in half,can bend clothing in half
When is the best time to go to a very popular theme park?,The best time to visit a theme park is the day after a big drinking holiday. Especially if you go later in the day.,"The best time to visit a theme park is the day after a big Friday holiday .  The lines will be very thin, especially early in the day."
One seeks to have a decorative portrait appear to move.,One should use a TV.,One should use an actor.
To stuff Hawaiian Burger Bacon Balls with cheese.,Make an indentation in the hamburger ball and add cheese.,Make an indentation in the outer layer of bacon and add cheese.
How to place the mounting pole for your hose reel?,Mark the center of the top swivel bushing mount. Place the bushing centerline over this mark and mark the center of the two holes that will need to be drilled for the lag bolts. Drill the holes for the lag bolts and mount the top bushing by screwing in the two lag bolts. Align the top bushing over the two holes you drilled into the concrete and mount the top bushing by screwing in the two masonry bolts into the concrete.,Mark the center of the top swivel bushing mount. Place the bushing centerline over this mark and mark the center of the two holes that will need to be drilled for the lag bolts. Drill the holes for the lag bolts and mount the top bushing by screwing in the two lag bolts. Align the bottom bushing over the two holes you drilled into the concrete and mount the bottom bushing by screwing in the two masonry bolts into the concrete.
Draw a circle.,"Find a tin can or bowl the size of the circle you'd like to draw. lay the object youve chosen in the center of the place you want your circle. Using a pencil, trace around the object until the lead marking meet.","Using a compas, poke the spike into the center of the area you want your circle. Now hold that with your left hand and pull the pencil around the center until the lead marks connect."
mouth,can watch video footage.,can privide audio for a video commentary.
A spit,cooks carrots ,cooks A whole pig 
Make SOS signal.,Make large foil sheet to reflect off planes in distance.,Make small foil ball to reflect off planes in distance.
How do you prepare paint to repaint a house?,You have to mix it very well.,Just start painting right out of the can.
Make a mini hiking kit.,Store small items in empty soup tin.,Store small items in empty mint tin.
To easily thread rope through a bag to act as a drawstring.,Attach a safety pin to one end and pull through the tube in the fabric.,Tie a knot to one end and slide through the tube in the fabric.
To remove price tags stickers off of an item.,Slowly move a blow dryer over the area. This will warm the paper making it easy to peel off.,Slowly move a blow dryer over the area. This will warm the glue making it easy to peel off.
How can I make my trash can smell better?,"Use bags that smell fresh in the trash can, or spray it with duster occasionally.",Use bags that smell fresh in the trash can or spray it with perfume occasionally.
Reduce chances of vomiting.,Take short rapid breaths.,Take long rapid breaths.
"To make a phone call from a land line phone,","pick up the receiver, type in the desired phone number, then place the receiver back onto the phone holder to talk.","pick up the receiver, type in the desired phone number, then place the receiver to your head to talk."
"To clean steel before sealing,",scrub any rusted spots with steel wool pads and wipe down with a soft cloth and water.,scrub any rusted spots with steel wool pads and wipe down with a soft cloth and linseed oil.
What can I put in the bottom of a flower bed to hold moisture in?,Cut up an old shower curtain or use a trash bag to place in the flower bed before putting soil in.,Cut up an old porous laundry bag or use a trash bag to place in the flower bed before putting soil in.
